"name","title","score"
"Claire","Coyote Vs Acme","4.0"
"Claire","Disclosure Day","N/A"
"Claire","Obesession","5.0"
"Claire","Spiderman: Brand New Day","5.0"
"Claire","The Oddesey","3.0"
"Claire","Toy Story 5","5.0"
"Ethan","Coyote Vs Acme","N/A"
"Ethan","Disclosure Day","3.0"
"Ethan","Obesession","N/A"
"Ethan","Spiderman: Brand New Day","N/A"
"Ethan","The Oddesey","4.0"
"Ethan","Toy Story 5","4.0"
"Me","Coyote Vs Acme","3.0"
"Me","Disclosure Day","1.0"
"Me","Obesession","4.0"
"Me","Spiderman: Brand New Day","N/A"
"Me","The Oddesey","5.0"
"Me","Toy Story 5","N/A"
"Ryan","Coyote Vs Acme","N/A"
"Ryan","Disclosure Day","N/A"
"Ryan","Obesession","3.0"
"Ryan","Spiderman: Brand New Day","4.0"
"Ryan","The Oddesey","5.0"
"Ryan","Toy Story 5","4.0"
"Samantha","Coyote Vs Acme","5.0"
"Samantha","Disclosure Day","3.0"
"Samantha","Obesession","4.0"
"Samantha","Spiderman: Brand New Day","3.0"
"Samantha","The Oddesey","5.0"
"Samantha","Toy Story 5","N/A"
