date,item,units_sold,avg_price,revenue
2026-09-01,Hot Coffee,16,4.22,67.52
2026-09-01,Iced Tea,16,3.36,53.76
2026-09-01,Lemonade,11,2.9,31.9
2026-09-01,Sparkling Water,13,2.14,27.82
2026-09-02,Hot Coffee,13,4.2,54.6
2026-09-02,Iced Tea,16,3.42,54.72
2026-09-02,Lemonade,9,2.97,26.73
2026-09-02,Sparkling Water,15,2.08,31.2
2026-09-03,Hot Coffee,17,4.28,72.76
2026-09-03,Iced Tea,14,3.44,48.16
2026-09-03,Lemonade,10,2.91,29.1
2026-09-03,Sparkling Water,15,2.03,30.45
2026-09-04,Hot Coffee,17,4.22,71.74
2026-09-04,Iced Tea,15,3.45,51.75
2026-09-04,Lemonade,9,2.95,26.55
2026-09-04,Sparkling Water,17,2.13,36.21
2026-09-05,Hot Coffee,14,4.21,58.94
2026-09-05,Iced Tea,18,3.46,62.28
2026-09-05,Lemonade,10,2.88,28.8
2026-09-05,Sparkling Water,18,2.09,37.62
2026-09-06,Hot Coffee,15,4.22,63.3
2026-09-06,Iced Tea,18,3.46,62.28
2026-09-06,Lemonade,12,2.91,34.92
2026-09-06,Sparkling Water,17,2.1,35.7
2026-09-07,Hot Coffee,16,4.25,68.0
2026-09-07,Iced Tea,17,3.42,58.14
2026-09-07,Lemonade,9,2.88,25.92
2026-09-07,Sparkling Water,17,2.1,35.7
2026-09-08,Hot Coffee,15,4.24,63.6
2026-09-08,Iced Tea,15,3.41,51.15
2026-09-08,Lemonade,10,2.91,29.1
2026-09-08,Sparkling Water,12,2.11,25.32
2026-09-09,Hot Coffee,15,4.25,63.75
2026-09-09,Iced Tea,16,3.46,55.36
2026-09-09,Lemonade,11,2.95,32.45
2026-09-09,Sparkling Water,13,2.16,28.08
2026-09-10,Hot Coffee,14,4.25,59.5
2026-09-10,Iced Tea,15,3.42,51.3
2026-09-10,Lemonade,10,2.85,28.5
2026-09-10,Sparkling Water,13,2.13,27.69
2026-09-11,Hot Coffee,17,4.32,73.44
2026-09-11,Iced Tea,16,3.38,54.08
2026-09-11,Lemonade,11,2.94,32.34
2026-09-11,Sparkling Water,14,2.11,29.54
2026-09-12,Hot Coffee,19,4.21,79.99
2026-09-12,Iced Tea,19,3.38,64.22
2026-09-12,Lemonade,11,2.93,32.23
2026-09-12,Sparkling Water,14,2.08,29.12
2026-09-13,Hot Coffee,18,4.21,75.78
2026-09-13,Iced Tea,15,3.39,50.85
2026-09-13,Lemonade,11,2.9,31.9
2026-09-13,Sparkling Water,18,2.05,36.9
2026-09-14,Hot Coffee,18,4.2,75.6
2026-09-14,Iced Tea,15,3.45,51.75
2026-09-14,Lemonade,10,2.86,28.6
2026-09-14,Sparkling Water,14,2.1,29.4
2026-09-15,Hot Coffee,16,4.25,68.0
2026-09-15,Iced Tea,14,3.44,48.16
2026-09-15,Lemonade,8,2.92,23.36
2026-09-15,Sparkling Water,12,2.12,25.44
2026-09-16,Hot Coffee,14,4.28,59.92
2026-09-16,Iced Tea,14,3.46,48.44
2026-09-16,Lemonade,8,2.9,23.2
2026-09-16,Sparkling Water,13,2.19,28.47
2026-09-17,Hot Coffee,16,4.23,67.68
2026-09-17,Iced Tea,15,3.41,51.15
2026-09-17,Lemonade,8,2.93,23.44
2026-09-17,Sparkling Water,15,2.13,31.95
2026-09-18,Hot Coffee,14,4.2,58.8
2026-09-18,Iced Tea,18,3.44,61.92
2026-09-18,Lemonade,9,2.92,26.28
2026-09-18,Sparkling Water,16,2.16,34.56
2026-09-19,Hot Coffee,20,4.2,84.0
2026-09-19,Iced Tea,16,3.46,55.36
2026-09-19,Lemonade,12,2.98,35.76
2026-09-19,Sparkling Water,21,2.1,44.1
2026-09-20,Hot Coffee,18,4.26,76.68
2026-09-20,Iced Tea,19,3.42,64.98
2026-09-20,Lemonade,10,2.91,29.1
2026-09-20,Sparkling Water,24,2.07,49.68
