date,item,units_sold,avg_price,revenue
2025-01-01,Hot Coffee,595,4.13,2457.35
2025-01-01,Iced Tea,196,3.22,631.12
2025-01-01,Lemonade,92,2.74,252.08
2025-01-01,Sparkling Water,395,1.94,766.3
2025-02-01,Hot Coffee,534,4.14,2210.76
2025-02-01,Iced Tea,214,3.32,710.48
2025-02-01,Lemonade,139,2.71,376.69
2025-02-01,Sparkling Water,330,2.01,663.3
2025-03-01,Hot Coffee,537,4.15,2228.55
2025-03-01,Iced Tea,349,3.26,1137.74
2025-03-01,Lemonade,220,2.75,605.0
2025-03-01,Sparkling Water,388,1.97,764.36
2025-04-01,Hot Coffee,460,4.11,1890.6
2025-04-01,Iced Tea,452,3.25,1469.0
2025-04-01,Lemonade,314,2.81,882.34
2025-04-01,Sparkling Water,387,1.96,758.52
2025-05-01,Hot Coffee,435,4.11,1787.85
2025-05-01,Iced Tea,486,3.26,1584.36
2025-05-01,Lemonade,419,2.69,1127.11
2025-05-01,Sparkling Water,423,1.93,816.39
2025-06-01,Hot Coffee,376,4.18,1571.68
2025-06-01,Iced Tea,540,3.31,1787.4
2025-06-01,Lemonade,455,2.81,1278.55
2025-06-01,Sparkling Water,403,1.9,765.7
2025-07-01,Hot Coffee,398,4.14,1647.72
2025-07-01,Iced Tea,606,3.31,2005.86
2025-07-01,Lemonade,478,2.81,1343.18
2025-07-01,Sparkling Water,457,1.97,900.29
2025-08-01,Hot Coffee,420,4.09,1717.8
2025-08-01,Iced Tea,544,3.32,1806.08
2025-08-01,Lemonade,409,2.77,1132.93
2025-08-01,Sparkling Water,440,2.0,880.0
2025-09-01,Hot Coffee,468,4.1,1918.8
2025-09-01,Iced Tea,449,3.33,1495.17
2025-09-01,Lemonade,309,2.74,846.66
2025-09-01,Sparkling Water,399,2.1,837.9
2025-10-01,Hot Coffee,558,4.12,2298.96
2025-10-01,Iced Tea,349,3.42,1193.58
2025-10-01,Lemonade,231,2.82,651.42
2025-10-01,Sparkling Water,414,2.02,836.28
2025-11-01,Hot Coffee,538,4.2,2259.6
2025-11-01,Iced Tea,279,3.3,920.7
2025-11-01,Lemonade,128,2.8,358.4
2025-11-01,Sparkling Water,417,2.07,863.19
2025-12-01,Hot Coffee,623,4.19,2610.37
2025-12-01,Iced Tea,236,3.31,781.16
2025-12-01,Lemonade,91,2.84,258.44
2025-12-01,Sparkling Water,438,2.01,880.38
2026-01-01,Hot Coffee,619,4.22,2612.18
2026-01-01,Iced Tea,231,3.3,762.3
2026-01-01,Lemonade,92,2.84,261.28
2026-01-01,Sparkling Water,463,1.98,916.74
2026-02-01,Hot Coffee,527,4.18,2202.86
2026-02-01,Iced Tea,274,3.38,926.12
2026-02-01,Lemonade,127,2.93,372.11
2026-02-01,Sparkling Water,443,2.0,886.0
2026-03-01,Hot Coffee,545,4.21,2294.45
2026-03-01,Iced Tea,382,3.41,1302.62
2026-03-01,Lemonade,232,2.84,658.88
2026-03-01,Sparkling Water,461,2.02,931.22
2026-04-01,Hot Coffee,509,4.24,2158.16
2026-04-01,Iced Tea,447,3.36,1501.92
2026-04-01,Lemonade,297,2.81,834.57
2026-04-01,Sparkling Water,437,2.17,948.29
2026-05-01,Hot Coffee,416,4.2,1747.2
2026-05-01,Iced Tea,587,3.33,1954.71
2026-05-01,Lemonade,398,2.88,1146.24
2026-05-01,Sparkling Water,444,2.03,901.32
2026-06-01,Hot Coffee,409,4.25,1738.25
2026-06-01,Iced Tea,584,3.34,1950.56
2026-06-01,Lemonade,478,2.89,1381.42
2026-06-01,Sparkling Water,486,2.12,1030.32
2026-07-01,Hot Coffee,370,4.2,1554.0
2026-07-01,Iced Tea,667,3.42,2281.14
2026-07-01,Lemonade,450,2.95,1327.5
2026-07-01,Sparkling Water,485,2.04,989.4
2026-08-01,Hot Coffee,430,4.22,1814.6
2026-08-01,Iced Tea,589,3.43,2020.27
2026-08-01,Lemonade,430,2.93,1259.9
2026-08-01,Sparkling Water,492,2.14,1052.88
2026-09-01,Hot Coffee,322,4.23,1362.06
2026-09-01,Iced Tea,321,3.43,1101.03
2026-09-01,Lemonade,199,2.92,581.08
2026-09-01,Sparkling Water,311,2.12,659.32
